sample,data_in,data_out
6,3681,0
7,4257,0
8,4817,0
9,5358,2
10,5877,1
11,6374,3
12,6845,6
13,7289,0
14,7705,7
15,8090,11
16,8443,-5
17,8763,15
18,9048,14
19,9297,-17
20,9510,40
21,9685,4
22,9822,-69
23,9921,486
24,9980,1667
25,10000,2806
26,9980,3839
27,9921,4947
28,9822,6006
29,9685,7018
30,9510,8038
31,9297,9008
32,9048,9939
33,8763,10844
34,8443,11697
35,8090,12505
36,7705,13267
37,7289,13974
38,6845,14626
39,6374,15221
40,5877,15756
41,5358,16229
42,4817,16637
43,4257,16981
44,3681,17257
45,3090,17465
46,2486,17605
47,1873,17675
48,1253,17675
49,627,17605
50,0,17465
51,-627,17257
52,-1253,16981
53,-1873,16637
54,-2486,16229
55,-3090,15756
56,-3681,15221
57,-4257,14626
58,-4817,13973
59,-5358,13264
60,-5877,12503
61,-6374,11694
62,-6845,10838
63,-7289,9939
64,-7705,9001
65,-8090,8027
66,-8443,7022
67,-8763,5990
68,-9048,4932
69,-9297,3856
70,-9510,2765
71,-9685,1663
72,-9822,554
73,-9921,-555
74,-9980,-1664
75,-10000,-2766
76,-9980,-3857
77,-9921,-4933
78,-9822,-5991
79,-9685,-7023
80,-9510,-8028
81,-9297,-9002
82,-9048,-9940
83,-8763,-10839
84,-8443,-11695
85,-8090,-12504
86,-7705,-13265
87,-7289,-13974
88,-6845,-14627
89,-6374,-15222
90,-5877,-15757
91,-5358,-16230
92,-4817,-16638
93,-4257,-16982
94,-3681,-17258
95,-3090,-17466
96,-2486,-17606
97,-1873,-17676
98,-1253,-17676
99,-627,-17606
100,0,-17466
101,627,-17258
102,1253,-16982
103,1873,-16638
104,2486,-16230
105,3090,-15757
106,3681,-15222
107,4257,-14627
108,4817,-13974
109,5358,-13265
110,5877,-12504
111,6374,-11695
112,6845,-10839
113,7289,-9940
114,7705,-9002
115,8090,-8028
116,8443,-7023
117,8763,-5991
118,9048,-4933
119,9297,-3857
120,9510,-2766
121,9685,-1664
122,9822,-555
123,9921,554
124,9980,1663
125,10000,2765
126,9980,3856
127,9921,4932
128,9822,5990
129,9685,7022
130,9510,8027
131,9297,9001
132,9048,9939
133,8763,10838
134,8443,11694
135,8090,12503
136,7705,13264
137,7289,13973
138,6845,14626
139,6374,15221
140,5877,15756
141,5358,16229
142,4817,16637
143,4257,16981
144,3681,17257
145,3090,17465
146,2486,17605
147,1873,17675
148,1253,17675
149,627,17605
150,0,17465
151,-627,17257
152,-1253,16981
153,-1873,16637
154,-2486,16229
155,-3090,15756
156,-3681,15221
157,-4257,14626
158,-4817,13973
159,-5358,13264
160,-5877,12503
161,-6374,11694
162,-6845,10838
163,-7289,9939
164,-7705,9001
165,-8090,8027
166,-8443,7022
167,-8763,5990
168,-9048,4932
169,-9297,3856
170,-9510,2765
171,-9685,1663
172,-9822,554
173,-9921,-555
174,-9980,-1664
175,-9999,-2766
176,-9980,-3857
177,-9921,-4933
178,-9822,-5991
179,-9685,-7023
180,-9510,-8028
181,-9297,-9002
182,-9048,-9940
183,-8763,-10839
184,-8443,-11695
185,-8090,-12504
186,-7705,-13265
187,-7289,-13974
188,-6845,-14627
189,-6374,-15222
190,-5877,-15757
191,-5358,-16230
192,-4817,-16638
193,-4257,-16982
194,-3681,-17258
195,-3090,-17467
196,-2486,-17607
197,-1873,-17675
198,-1253,-17675
199,-627,-17607
200,0,-17467
201,627,-17258
202,1253,-16982
203,1873,-16638
204,2486,-16230
205,3090,-15757
206,3681,-15222
207,4257,-14627
208,4817,-13974
209,5358,-13265
210,5877,-12504
211,6374,-11695
212,6845,-10839
213,7289,-9940
214,7705,-9002
215,8090,-8028
216,8443,-7023
217,8763,-5991
218,9048,-4933
219,9297,-3857
220,9510,-2766
221,9685,-1664
222,9822,-555
223,9921,554
224,9980,1663
225,9999,2765
226,9980,3856
227,9921,4932
228,9822,5990
229,9685,7022
230,9510,8027
231,9297,9001
232,9048,9939
233,8763,10838
234,8443,11694
235,8090,12503
236,7705,13264
237,7289,13973
238,6845,14626
239,6374,15221
240,5877,15756
241,5358,16229
242,4817,16637
243,4257,16981
244,3681,17257
245,3090,17466
246,2486,17606
247,1873,17674
248,1253,17674
249,627,17606
250,0,17466
251,-627,17257
252,-1253,16981
253,-1873,16637
254,-2486,16229
255,-3090,15756
256,-3681,15221
257,-4257,14626
258,-4817,13973
259,-5358,13264
260,-5877,12503
261,-6374,11694
262,-6845,10838
263,-7289,9939
264,-7705,9001
265,-8090,8027
266,-8443,7022
267,-8763,5990
268,-9048,4932
269,-9297,3856
270,-9510,2765
271,-9685,1663
272,-9822,554
273,-9921,-555
274,-9980,-1664
275,-9999,-2766
276,-9980,-3857
277,-9921,-4933
278,-9822,-5991
279,-9685,-7023
280,-9510,-8028
281,-9297,-9002
282,-9048,-9940
