output_bin,index,i_value,q_value
0,0,8,0
1,1,24,0
2,2,40,0
3,3,56,0
4,4,72,0
5,5,88,0
6,6,104,0
7,7,120,0
8,8,136,0
9,9,152,0
10,10,168,0
11,11,184,0
12,12,200,0
13,13,216,0
14,14,232,0
15,15,248,0
16,16,264,0
17,17,280,0
18,18,296,0
19,19,312,0
20,20,328,0
21,21,344,0
22,22,360,0
23,23,376,0
24,24,392,0
25,25,408,0
26,26,424,0
27,27,440,0
28,28,456,0
29,29,472,0
30,30,488,0
31,31,504,0
32,32,520,0
33,33,536,0
34,34,552,0
35,35,568,0
36,36,584,0
37,37,600,0
38,38,616,0
39,39,632,0
40,40,648,0
41,41,664,0
42,42,680,0
43,43,696,0
44,44,712,0
45,45,728,0
46,46,744,0
47,47,760,0
48,48,776,0
49,49,792,0
50,50,808,0
51,51,824,0
52,52,840,0
53,53,856,0
54,54,872,0
55,55,888,0
56,56,904,0
57,57,920,0
58,58,936,0
59,59,952,0
60,60,968,0
61,61,984,0
62,62,1000,0
63,63,1016,0
