output_bin,index,i_value,q_value
0,0,100,0
1,1,200,0
2,2,300,0
3,3,400,0
4,4,500,0
5,5,600,0
6,6,700,0
7,7,800,0
8,8,900,0
9,9,1000,0
10,10,1100,0
11,11,1200,0
12,12,1300,0
13,13,1400,0
14,14,1500,0
15,15,1600,0
16,16,1700,0
17,17,1800,0
18,18,1900,0
19,19,2000,0
20,20,2100,0
21,21,2200,0
22,22,2300,0
23,23,2400,0
24,24,2500,0
25,25,2600,0
26,26,2700,0
27,27,2800,0
28,28,2900,0
29,29,3000,0
30,30,3100,0
31,31,3200,0
32,32,3300,0
33,33,3400,0
34,34,3500,0
35,35,3600,0
36,36,3700,0
37,37,3800,0
38,38,3900,0
39,39,4000,0
40,40,4100,0
41,41,4200,0
42,42,4300,0
43,43,4400,0
44,44,4500,0
45,45,4600,0
46,46,4700,0
47,47,4800,0
48,48,4900,0
49,49,5000,0
50,50,5100,0
51,51,5200,0
52,52,5300,0
53,53,5400,0
54,54,5500,0
55,55,5600,0
56,56,5700,0
57,57,5800,0
58,58,5900,0
59,59,6000,0
60,60,6100,0
61,61,6200,0
62,62,6300,0
63,63,6400,0
