output_bin,index,i_value,q_value
0,0,160,80
1,1,160,80
2,2,160,80
3,3,160,80
4,4,160,80
5,5,160,80
6,6,160,80
7,7,160,80
8,8,160,80
9,9,160,80
10,10,160,80
11,11,160,80
12,12,160,80
13,13,160,80
14,14,160,80
15,15,160,80
16,16,160,80
17,17,160,80
18,18,160,80
19,19,160,80
20,20,160,80
21,21,160,80
22,22,160,80
23,23,160,80
24,24,160,80
25,25,160,80
26,26,160,80
27,27,160,80
28,28,160,80
29,29,160,80
30,30,160,80
31,31,160,80
32,32,160,80
33,33,160,80
34,34,160,80
35,35,160,80
36,36,160,80
37,37,160,80
38,38,160,80
39,39,160,80
40,40,160,80
41,41,160,80
42,42,160,80
43,43,160,80
44,44,160,80
45,45,160,80
46,46,160,80
47,47,160,80
48,48,160,80
49,49,160,80
50,50,160,80
51,51,160,80
52,52,160,80
53,53,160,80
54,54,160,80
55,55,160,80
56,56,160,80
57,57,160,80
58,58,160,80
59,59,160,80
60,60,160,80
61,61,160,80
62,62,160,80
63,63,160,80
